"total","bigregion","religion"
112,"Northeast","None"
162,"Northeast","Catholic"
158,"Northeast","Protestant"
28,"Northeast","Other"
27,"Northeast","Jewish"
1,"Northeast","NA"
10,"West","Jewish"
180,"West","None"
48,"West","Other"
238,"West","Protestant"
155,"West","Catholic"
1,"West","NA"
172,"Midwest","Catholic"
325,"Midwest","Protestant"
157,"Midwest","None"
33,"Midwest","Other"
3,"Midwest","Jewish"
5,"Midwest","NA"
650,"South","Protestant"
170,"South","None"
160,"South","Catholic"
50,"South","Other"
11,"South","NA"
11,"South","Jewish"
